name,type,trust,address,phone,email,activity,revenue,executive,,
Catami,Commercial,FREE FLOW TRUST,Kuilapalayam,,catami@auroville.org.in,Food,7864051,"""Marc Tormo,Jose Luis Herrero,M. Davaselvane,Nuria de Molins""",,
Coffee Ideas,Commercial,FREE FLOW TRUST,Madhuca,,,Research,3964791,"""Marc Tormo,Matilde Mir,Jose Luis Herrero,""",,
Farm Fresh,Commercial,FREE FLOW TRUST,Kuilapalayam,2622996 & 6536475,farmfresh@auroville.org.in,Business support,3927993,"""C. Arumugam,A. Kotandanaraman,,""",,
Kottakarai Organic Food Processing Unit (KOFPU),Service,FREE FLOW TRUST,Kottakarai,2622455,kofpu@auroville.org.in,Research,5971802,"""Guy Ryckaert,Anandi Vaithalingam,,""",,
La Ferme Cheese,Service,FREE FLOW TRUST,Aspiration,2622212,laferme@auroville.org.in,Sutainable energy,5841402,"""Bernardus Ernst,Michael Spector,C. Arumugam,""",,
La Terrace,Commercial,FREE FLOW TRUST,Solar Kitchen,2622665,laterrace@auroville.org.in,Sutainable energy,2989533,"""Angelika Beate Scheftner,Thushita Ayyanar,,""",,
Le Gourmet II,Commercial,FREE FLOW TRUST,Douceur,2622159,,Art & craft,7919654,"""G. Elumalai,G. Arumugam,,""",,
Naturellement,Commercial,FREE FLOW TRUST,Udyogam,2622034 & 262367,naturellement@auroville.org.in ,Food,4683084,"""Martina Ljungquist,Lachman Melvani,Paul Mayer,""",,
New School Crafts,Commercial,FREE FLOW TRUST,Udyogam,677022,newschoolcrafts@auroville.org.in; ,Art & craft,1353794,"""Lachman Melvani,Hendrik Jan Van Poederooijen,Martina Ljungquist,""",,
Right Path Caf_,Commercial,FREE FLOW TRUST,Visitors' Centre,2622248,visitorscentre@auroville.org.in,Education,1187363,"""Gillian Chvat,Nicole Clarence Smith,,""",,
Sciro Pizza,Commercial,FREE FLOW TRUST,New Creation,9751830516,ascirocco@hotmail.it,Fashion,5203162,"""Antonio Scirocco,Cinzia Gibellini,Julia Koch,""",,
Naturally Auroville (Chennai),Commercial,GNP TRUST,Djaima,622272,ila@auroville.org.in ,Education,6411163,"""Ila Zadrozny,Jean Francoise Sebille,Emanuele Scanziani,""",,
Papui and Something Else,Commercial,GNP TRUST,Sukhuvati,2623407, lele@auroville.org.in,Business support,4436699,"""Emanuele Scanziani,Yvelise Vaugeois,,""",,
Abundance Guest House,Service,GUEST HOUSE TRUST,Doucuer,2622429,manjulaselvam@auroville.org.in,Sutainable energy,5292748,"""Selvam Rajamani,Manjula Selvam,,""",,
Afsanah Guest House,Service,GUEST HOUSE TRUST,Kottakarai ,622108,afsanah_gh@auroville.org.in,Education,3674398,"""Afsaneh Bader,,,""",,
Aspiration Guest House,Service,GUEST HOUSE TRUST,Aspiration,,dinar@auroville.org.in,Independent businesses,3689126,"""D. Auroprem,C. Dheenathayalan,,""",,
Bod Khang,Service,GUEST HOUSE TRUST,Bharat Nivas,,kalsang@auroville.org.in,Healing,7605529,"""Kalsang Dolma,Claude Arpi,,""",,
Centre Guest House,Service,GUEST HOUSE TRUST,Centre Field,622155,centerguesthouse@auroville.org.in,Agriculture,2140434,"""Cristina Bacci,Dorothee Bethscheider,,""",,
Creativity Guest House,Service,GUEST HOUSE TRUST,Creativity,,creativity@auroville.org.in,Business support,2291806,"""Gumsoon An,Lieve Claes,,""",,
Explorations,Service,GUEST HOUSE TRUST,,,sonjaumberto@auroville.org.in,Architecture,4373497,"""Sonja van Dam,S. Sivacoumar,Roberta Keeping,""",,
Gaia's Garden Guest House,Service,GUEST HOUSE TRUST,Felicity,,kireet@auroville.org.in,Business support,1441120,"""Gerardus Jak,Younge You,,""",,
Homestays,Service,GUEST HOUSE TRUST,,,,Fashion,4340031,"""Lieve Claes,S. Sivacoumar,,""",,
Isaiambalam Guest House,Service,GUEST HOUSE TRUST,Isaiambalam,2622529,isaiambalam@auroville.org.in,Education,6253953,"""Suryan Stettner,Roberta Keeping,,""",,
Joy Guest House,Service,GUEST HOUSE TRUST,Centre Field,,guesthousejoy@gmail.com,Education,4046500,"""Janet Fearn,Giovanni Scollo Abeti,Stefania Savardi,Sara Sponza""",,
Needam Guest House,Service,GUEST HOUSE TRUST,Certitude,,hamritam@auroville.org.in,Healing,1232895,"""Howard Iriyama,Rakesh Tiwari,,""",,
New Creation Guest House,Service,GUEST HOUSE TRUST,New Creation,,andre@auroville.org.in,Art & craft,996497,"""Andre Tardeil,Marie Antoinette Babu Tardeil,,""",,
Repos Guest House,Service,GUEST HOUSE TRUST,Repos,,bhaga@auroville.org.in,Healing,761057,"""Christiane Gabriau,Pascal Estrem,,""",,
Samarpan Guest House,Service,GUEST HOUSE TRUST,Samarpan,2623102 / 2918571,gilardistefano@libero.it,Agriculture,6921228,"""Stefano Gilardi,Giandonata Begliuomini,,""",,
Samasti Guest House,Service,GUEST HOUSE TRUST,Samasti,622306,srimoyi@auroville.org.in,Independent businesses,3707602,"""Srimoyi Rosseger,Jerome  Van der Linden,Ila Zadrozny,""",,
Sharnga Guest House,Service,GUEST HOUSE TRUST,Sharnga,,kripa@auroville.org.in,Food,2739484,""",Kripa Borg,,""",,
Verite Community Guest House,Service,GUEST HOUSE TRUST,Kottakarai,2622045,verite@auroville.org.in,Entertainment,3977759,"""Dee Alice Decew,Alfred Christian Hammer,Kathryn Van Note,Susan Spadanuta""",,
Volunteer Lodgings,Service,GUEST HOUSE TRUST,Kottakarai,,,Art & craft,809123,"""Simonette Smits,Giovanni Scollo Abeti,,""",,
Waves Guest House,Service,GUEST HOUSE TRUST,Kalapet,,wavesauroville@hotmail.com,Business support,5167339,"""Tatiana Jovatan,,,""",,
ADCERRA,Service,HEALTH AND HEALING TRUST,Protection,,aurodentalcentre@auroville.org.in,Education,6791993,"""H. Suriyagandhi,Jacques Verre,Janna Imhoff,""",,
Auroville Dental Centre,Service,HEALTH AND HEALING TRUST,Protection,2622265/2622007,aurodentalcentre@auroville.org.in,Art & craft,7782164,"""H. Suriyagandhi,Jacques Verre,,""",,
Auroville Health Centre,Service,HEALTH AND HEALING TRUST,Aspiration,2622123,avhealth@auroville.org.in ,Sutainable energy,3612212,"""Jacques Verre,,Uma Tewari Sharma,""",,
Integral Health Services,Service,HEALTH AND HEALING TRUST,RZ,262-2803,ihs@auroville.org.in,Education,5216081,"""Jocelyn Brynhild,Linda Mosselman,Ruslan Yeskendirov,Sumeet Kumar""",,
Quiet Healing Centre,Service,HEALTH AND HEALING TRUST,Quiet,2622646 /2622329,quiet@auroville.org.in,Fashion,6906410,"""Michael Spector,Dorothee Bethscheider,Samrat Das,Guido Ryckaert""",,
Inside India,Commercial,INSIDE TRUST,Auroshilpam,2622047 & 2622555,insideindia@auroville.org.in,Fashion,2907395,"""Klaus Onken,Lisa Thole,,""",,
Joy Living Learning,Commercial,INSIDE TRUST,Centre Field,262-2539,laurajoy@auroville.org.in,Architecture,5179603,"""L'aura Joy,Janet Fearn,Gert Jan Van den Eijk,""",,
Kalki,Commercial,KALKI TRUST,Pondicherry,339166,auromode@auroville.org.in,Fashion,5331229,"""Paul Pinthon,Adelina Intannio,Laura Reddy,Andre Hababou""",,
Akriti,Commercial,KATTIDA KALAI TRUST,Windarra,,anbooav@gmail.com,Healing,3570309,"""V. Anbu,V. Veerappan,,""",,
Aurocreation,Commercial,KATTIDA KALAI TRUST,Promesse,9585746974,prasad@auroville.org.in,Food,5833916,"""Jothi Prasad Rajan,Mohan Jayaraman,Alok Mallick,""",,
Auro Sun Shine,Commercial,KATTIDA KALAI TRUST,Auroshilpam,,,Food,992024,"""R. Venugopal,Maria Clerici,,""",,
Auroville Activities,Commercial,KATTIDA KALAI TRUST,Aurelec,,hendrik@auroville.org.in,Agriculture,126241,"""Hendrik Jan Van Poederooijen,M. Palani,E. Rathinam,""",,
Auzolan,Commercial,KATTIDA KALAI TRUST,Reve,,,Entertainment,5374410,"""Eric Reboul,Ane Ugarte,,""",,
Arthena,Commercial,KATTIDA KALAI TRUST,Reve,"94,42,06,92,21,26,22,200",reboul@auroville.org.in,Education,5448683,"""Ane Ugarte,Diana Zanzi,,""",,
Buildaur,Commercial,KATTIDA KALAI TRUST,Auroshilpam,2623553,dharmesh@auroville.org.in,Business support,1832239,"""Dharmesh Jadeja,Rahkee Kane,Dhruv Baskar,""",,
Brand New Day,Commercial,KATTIDA KALAI TRUST,n/a,,dominic@auroville.org.in,Healing,1513876,"""Dominic Dube,Ingeborg Rieck,,""",,
Earth Institute,Commercial,KATTIDA KALAI TRUST,Auroshilpam,,earth-institute@auroville.org.in,Business support,5924524,"""Serge Maini,T. Ayyapan,L. Dhanapal,""",,
Hers,Commercial,KATTIDA KALAI TRUST,Kottakarai ,,,Entertainment,5414733,"""Vinod Kumar,Gillian Chvat,M. Palani,""",,
Ishta,Commercial,KATTIDA KALAI TRUST,Kottakarai,2622429,selman259@yahoo.co.in,Entertainment,1700764,"""S. Manjula,R. Selvam,,""",,
Kolam,Commercial,KATTIDA KALAI TRUST,Courage,2622327 & 2622433,kolam@auroville.org.in,Sutainable energy,3029358,"""Anupama Kundoo,Sonali Phadnis,,""",,
Lanak,Commercial,KATTIDA KALAI TRUST,Courage,,,Art & craft,904276,"""M. Palani,Samai Reboul,,""",,
Mahasaraswati Construction,Commercial,KATTIDA KALAI TRUST,Celebration,94434-59064,vinayagam@auroville.org.in,Research,722508,"""M. Vinayagam,R. Udayanam,,""",,
Metamorphosis,Commercial,KATTIDA KALAI TRUST,Courage,,sonali@auroville.org.in,Art & craft,5249866,"""Sonali Phadnis,K. Parthasarathy,,""",,
MG Ecoduties,Commercial,KATTIDA KALAI TRUST,Reve,,mgecoduties@auroville.org.in,Sutainable energy,7086998,"""Margarita Correa,Guidelma Grandi,,""",,
Nala Builders,Commercial,KATTIDA KALAI TRUST,Sincerity,9486650103,baskaran@auroville.org.in,Research,6180707,"""C. Baskaran,Luca Zbinden,,""",,
New Dawn Carpentry,Commercial,KATTIDA KALAI TRUST,Kottakarai,2622600,ricardos@auroville.org.in;,Agriculture,7380734,"""Ricardo Cosarinsky,Chaitanya Baetens,G. Karunacaran,""",,
Omega,Commercial,KATTIDA KALAI TRUST,Fraternity,,omega@auroville.org.in,Business support,3463483,"""M. Palani,Jean Francois Bertaux,,""",,
Painting and D_cor,Commercial,KATTIDA KALAI TRUST,,,carlos@auroville.org.in,Architecture,6523798,"""Claude Pascal Bayle,Carlos Herrera,,""",,
PATH,Commercial,KATTIDA KALAI TRUST,Courage,,"lalit@auroville,org,in",Architecture,7129813,"""Lalit Bhati,Shailaja Bhati,,""",,
Pragati Constructions,Commercial,KATTIDA KALAI TRUST,Aspiration,9843493138,kupuraj@gmail.com,Fashion,2321120,"""Subrayan Kuppan,Krishnan Parthasarathy,,""",,
Progress Landscape & Construction,Commercial,KATTIDA KALAI TRUST,Shakti,2623435,progress@auroville.org.in,Architecture,3277888,"""P. Satyamoorthy,Dirk Gastmanns,,""",,
Sagarmatha,Commercial,KATTIDA KALAI TRUST,,,jeanmarc@auroville.org.in,Independent businesses,2856924,"""Jean Marc Moreno,Marie Anne Cavaille,,""",,
Sumark Construction,Commercial,KATTIDA KALAI TRUST,Abri,9943645039,kevinhauser@hotmail.com,Independent businesses,5844521,"""Rolf Redis,Kevin Hauser,Peter Klingspies,""",,
White Ant Studio,Commercial,KATTIDA KALAI TRUST,Petite Ferme,9008099800,fabian-ostner@auroville.org.in,Art & craft,6856467,"""Fabian Ostner,Elvira Klein,Anita Guar,""",,
Yatra Nova,Commercial,KATTIDA KALAI TRUST,Kuilapalayam,2623036,yatranova@auroville.org.in,Fashion,2958595,"""Christine Pauchard,Auroswadha Antoine,Manu Zurmuehl,""",,
Atmarati Architects,Commercial,NEW ENGINEERING TRUST,Aspiration,622077,,Education,3789803,"""Pierre Elouard,Jean Legrand,Claude Faury,""",,
Swarat Consultants (dormant),Commercial,NEW ENGINEERING TRUST,Douceur,622146,,Research,1392611,"""Ingeborg Meinhardt,,,""",,
AV Sustainable Livelihood Institute (AVSLI),Service,SANGAMAM TRUST,Kottakarai,2622333/2622690,sli@auroville.org.in,Agriculture,7204193,"""Alain Bernard,Joss Brooks,Kathleen Walking,""",,
SRI AUROBINDO INTERNATIONAL INSTITUTE OF EDUCATIONAL RESEARCH,Unlisted,SANGAMAM TRUST,,,saiier@auroville.org.in,Education,6303716,"""Sanjeev Aggarwal,Ashok Chatterjee,Rama,""",,
Main Account,Unlisted,SANGAMAM TRUST,Bharat Nivas,"2622210, 2622982",saiier@auroville.org.in,Research,5522702,"""Sanjeev Aggarwal,Ashok Chatterjee,Rama,""",,
Foreign Contribution,Unlisted,SANGAMAM TRUST,Bharat Nivas,"2622210, 2622982",saiier@auroville.org.in,Entertainment,1934819,"""Sanjeev Aggarwal,Ashok Chatterjee,Rama,""",,
Government Of India Grant-In-Aid,Unlisted,SANGAMAM TRUST,Bharat Nivas,"2622210, 2622982",saiier@auroville.org.in,Art & craft,7882022,"""Sanjeev Aggarwal,Ashok Chatterjee,Rama,""",,
Social Science Research SAIIER,Unlisted,SANGAMAM TRUST,Bharat Nivas,"2622210, 2622982",saiier@auroville.org.in,Education,4007531,"""Sanjeev Aggarwal,Ashok Chatterjee,Rama,""",,
CIRHU Project,Unlisted,SANGAMAM TRUST,,"2622210, 2622982",saiier@auroville.org.in,Sutainable energy,3939033,""",,,""",,
Secretarys Office,Unlisted,SANGAMAM TRUST,Bharat Nivas,622414,,Independent businesses,457621,""",,,""",,
AV Foundation Non Plan Account,Unlisted,SANGAMAM TRUST,,,,Business support,2186263,""",,,""",,
AV Foundation Plan Account,Unlisted,SANGAMAM TRUST,,,,Architecture,5569789,""",,,""",,
Abacus Accounting,Commercial,SWAGATAM TRUST:,Saracon,9894442349,prabhasari@gmail.com,Sutainable energy,6836659,"""Chandresh Patel,M. Prabakaran,,""",,
Aureate,Commercial,SWAGATAM TRUST:,Agni,,aureate@auroville.org.in,Business support,1208162,"""Hans Isler,Christiaan Kardruk,,""",,
Aurganics,Commercial,SWAGATAM TRUST:,Auroshilpam,2623333,alok@auroville.org.in,Food,98252,"""Alok Aurovilian,Jung Woo Nam,,""",,
Aurinoco Systems,Commercial,SWAGATAM TRUST:,Saracon,,chandresh@auroville.org.in,Research,5839214,"""Chandresh Patel,Manu Zurmuehl,JV Avadhanulu,""",,
AurovilleArts.com,Commercial,SWAGATAM TRUST:,Kottakarai ,2622973,renu@auroville.org.in,Art & craft,5970469,"""Alfred Hammer,Lisa Renu Neogy,,""",,
Auroville Consulting,Commercial,SWAGATAM TRUST:,Kottakarai,2622973,chandresh@auroville.org.in,Independent businesses,6295119,"""Chandresh Patel,Raghu Kolli,Martin Scherfler,Vikram Devatha""",,
Auroville Language Laboratory,Service,SWAGATAM TRUST:,Aspiration,2623661,all@auroville.org.in,Fashion,6252197,"""Mita Radhakrishnan,Marie Noelle Desrousseaux,Elodie Desrousseaux,""",,
BON ,Commercial,SWAGATAM TRUST:,New Creation,2622447,yogi@auroville.org.in,Agriculture,5756659,"""Ganesh Chandrasekar,Lakshmi Devi,,""",,
Brahma Builders,Commercial,SWAGATAM TRUST:,Auromodele,2622695,padmanabhan@auroville.org.in,Healing,415760,"""V. Padmanabhan,Ramalingam Jayanthi,,""",,
Comfort Design,Commercial,SWAGATAM TRUST:,Gaia,9443259231,sigi@auroville.org.in,Business support,4525099,"""Siegfried Keller,Rene Janssen,Marie Noelle Desrousseax,""",,
Ecoteco Pools,Commercial,SWAGATAM TRUST:,Prayogashala,,giorgio@auroville.org.in,Architecture,3015664,"""Giorgio Luciani,Pino Marchese,Diana Zanzi,""",,
Eye See,Commercial,SWAGATAM TRUST:,Auromodel,,anahata@auroville.org.in,Sutainable energy,3125633,"""Laurent Sercomanens,Sourya Sercomanens,Shandra Cornec,""",,
Freeland,Commercial,SWAGATAM TRUST:,Edayanchavadi,2623417 / 200 21 33,freeland@auroville.org.in,Agriculture,2517709,"""Yannick Rolland,Denis Henley,Remi Boutinet,""",,
Italinfood,Commercial,SWAGATAM TRUST:,Reve,9487701765,italinfood@auroville.org.in,Art & craft,4594276,"""Gianpietro Colla,Giorgio Luciani,,""",,
Kratu's Workshop,Commercial,SWAGATAM TRUST:,,,aloka@auroville.org.in,Education,6447672,"""Gianfranco Carlotto,Maria Marti Gich,,""",,
Lively,Commercial,SWAGATAM TRUST:,Kottakarai ,2622589,lively@auroville.org.in,Research,5212665,"""B. Radjakunni,P. Balasundaram,,""",,
Mystique,Commercial,SWAGATAM TRUST:,Shakti,2622477,earumugam@auroville.org.in,Food,4113316,"""E. Arumugam,A. Selvi,,""",,
Pitchandikulam Forest Consultants,Commercial,SWAGATAM TRUST:,Pitchandikulam,,joss@auroville.org.in,Fashion,5835357,"""Joss Brooks,Anita Truchanas,Lourdes Nadin Epinal,""",,
Stone Age Handicrafts,Commercial,SWAGATAM TRUST:,Dana,,hendrik@auroville.org.in,Independent businesses,1475321,"""Hendrik Van Poederooijen,Monique Louarn,,""",,
Svaram,Service,SWAGATAM TRUST:,Sanjeevinagar,2622220,svaram@auroville.org.in,Food,1796947,"""Alfred Hammer,Jan van den Dikkenberg,Chandresh Patel,""",,
Unity Transport,Commercial,SWAGATAM TRUST:,Kuilapalayam,2623587,uts@auroville.org.in,Art & craft,4071786,"""M. Krishan,K. Lakshmi,,""",,
Tapasya Design Studio,Commercial,SWAGATAM TRUST:,Sailam,2623248,eugen@auroville.org.in,Entertainment,6390197,"""Eugen Eigenmann,Aleksejs Golubeus,G.R. Sreevatsa,""",,
Vanaville,Commercial,SWAGATAM TRUST:,Kuilapalayam,2623098,arun@auroville.org.in,Healing,1279411,"""A. Arun,A. Renuka,K. Lakshmi,""",,
Vijnana,Commercial,SWAGATAM TRUST:,Kottakarai,,vijnana@auroville.org.in,Independent businesses,7941037,"""Stephen Raedler,Sonja Kanehl,,""",,
Auro Small Scale Activities,Commercial,TEAM TRUST,ACUR,2622751,kumar11@auroville.org.in,Entertainment,6248024,"""K. Kumar,Claudine Blancard,Guy Dinet,""",,
Auroville Energy Products,Commercial,TEAM TRUST,Auroshilpam,2622581,aep@auroville.org.in,Education,6711350,"""Carsten Michelsen,Lizbeth Nusselein,,""",,
Conscious Living,Commercial,TEAM TRUST,Fraternity,9751420678,consciousliving@auroville.org.in,Education,1989891,"""Fabien Bontems,Jane Mason,,""",,
Earth & Us,Service,TEAM TRUST,Auromode , 94 867 50 671,min@auroville.org.in,Entertainment,2842199,"""Minhaj Ameen,Aviram Rozin,,""",,
Glimpse,Commercial,TEAM TRUST,Aurobhakti,2622627,glimpsedeco@yahoo.com,Sutainable energy,1632984,"""Jesus Prat,Elodie Desrousseaux,,""",,
Miniature,Commercial,TEAM TRUST,Sharanga,2622654/2906396,miniature@auroville.org.in ,Fashion,1498609,"""Marco Feira,Liliane Fassino,Ambra Feira,""",,
Mira Boutique,Commercial,TEAM TRUST,Visitors Centre,2623389,miraboutique@auroville.org.in,Independent businesses,535080,"""Valerie Tait,Marco Feira,Michel Hutin,Abha Arpi""",,
Rangoli,Commercial,TEAM TRUST,Aurobhakti,2622563,rangoli@auroville.org.in,Education,3890093,"""Prema Isaac,Myriam Issac,,""",,
Aureka,Commercial,TOUJOURS MIEUX TRUST,Aspiration,2622278/2622651,robi@auroville.org.in,Research,631528,"""Robert Leo Trunz,M. Palani,,""",,
